标题链接,y,r_链接,r,zy2
"【脱贫攻坚 交大足迹】选调生张凡：三个“药方”助力王咀村脱贫摘帽
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130080.htm,11,（左一为张凡）甘肃省镇原县郭原乡王咀村的乡亲们嘴边常常挂着一个名字——“小张”。“小张”名叫张凡，是西安交通大学2018届选调生，就职于中央党史和文献研究院办公厅，2018年12月至2019年12月担任郭原乡王咀村党支部书记助理。原计划2019年12月结束在...
"西安交大获批63项教育部产学合作协同育人项目 获批总数位列C9高校第一
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130076.htm,11,​近日，教育部公布有关企业支持的2020年产学合作协同育人项目立项名单，西安交大获批63项，获批总数位列C9高校第一、全国高校第六。以教育部产学合作协同育人项目为抓手，实践教学中心积极落实学校“6352”工程，深入推进产教融合协同育人，探索构建国际...
"【聚焦两会】中国教育电视台专访王树国代表：立德树人守初心 教育为民担使命
                    
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130072.htm,11,3月9日，中国教育电视台《两会会客厅》栏目视频连线全国人大代表、西安交大校长王树国，畅谈高校应如何落实好习近平总书记在看望医药卫生界教育界政协委员时的重要讲话精神。​视频链接：http://m.cetv.cn/p/388171.htm
"四川省人民政府代表团来校举行深化合作交流座谈会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130069.htm,11,3月10日，四川省副省长李刚率代表团来校举行深化合作交流座谈会，进一步推进校地合作。校党委书记卢建军、副校长荣命哲、中国工程院院士蒋庄德出席座谈会。双方就深化合作、推进产业共兴、创新协同、资源共享，在构建新发展格局中实现优势互补、共赢发展深...
"【脱贫攻坚 交大足迹】选调生李晨宇：为脱贫攻坚全面胜利贡献青春力量
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130064.htm,10,【开栏语】2021年2月25日，在全国脱贫攻坚总结表彰大会上，习近平总书记庄严宣告，“经过全党全国各族人民共同努力，在迎来中国共产党成立一百周年的重要时刻，我国脱贫攻坚战取得了全面胜利！”交大人在脱贫攻坚的道路上留下了踏实奋进的身影，他们把初心...
"西安交大参加教育部党史学习教育动员大会视频会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130059.htm,10,​3月9日，教育部召开党史学习教育动员大会。教育部党组书记、部长、部党史学习教育领导小组组长陈宝生作动员讲话。会议强调，认真学习贯彻习近平总书记在党史学习教育动员大会上的重要讲话精神，按照党中央统一部署，开展党史学习教育，是教育系统当前一...
"西安交大荣获2020年陕西省高校征兵工作先进单位
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130040.htm,10,近日，陕西省人民政府征兵办公室、陕西省教育厅签发《关于表彰2020年度高校征兵工作先进单位和个人的通报》，西安交通大学荣获2020年陕西省高校征兵工作先进单位。西安交通大学以习近平强军思想为引领，以军委国防动员部和陕西省军区关于抓好征兵工作一系...
"西安交大保卫部（处）获评2020年度陕西省学雷锋活动示范点
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130034.htm,9,日前，陕西省委宣传部发出《关于命名2020年度学雷锋活动示范点和岗位学雷锋标兵的决定》，西安交通大学党委保卫部（处）获评“2020年度陕西省学雷锋活动示范点”。《决定》指出，2020年，面对突如其来的新冠肺炎疫情和形势严峻的复工复产，全省各地各部门...
"西安交通大学与京博农化科技有限公司共建双链融合创新平台
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130028.htm,9,3月7日上午，西安交通大学化学学院与京博农化科技有限公司共建双链融合创新平台签约仪式在创新港泓润楼化学会议室举行。山东京博控股集团董事、高级副总裁蔡颖辉，集团董事、京博农化董事长兼总经理成道泉，西安交通大学副校长王铁军，化学学院党委书记张...
"西安交大与华为技术有限公司成立超算技术研究中心暨存储技术联合创新中心
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130006.htm,9,3月8日，西安交通大学与华为技术有限公司（以下简称“华为”）在中国西部科技创新港联合成立“超算技术研究中心暨存储技术联合创新中心”。签约仪式前，西安交大党委书记卢建军会见华为数据存储与机器视觉产品线总裁周跃峰、华为陕西分公司总经理赵永刚、...
